id,name,hex,r,g,b,is_trans
-1,[Unknown],#0033B2,0,51,178,False
0,Black,#05131D,5,19,29,False
1,Blue,#0055BF,0,85,191,False
2,Green,#237841,35,120,65,False
3,Dark Turquoise,#008F9B,0,143,155,False
4,Red,#C91A09,201,26,9,False
5,Dark Pink,#C870A0,200,112,160,False
6,Brown,#583927,88,57,39,False
7,Light Gray,#9BA19D,155,161,157,False
8,Dark Gray,#6D6E5C,109,110,92,False
9,Light Blue,#B4D2E3,180,210,227,False
10,Bright Green,#4B9F4A,75,159,74,False
11,Light Turquoise,#55A5AF,85,165,175,False
12,Salmon,#F2705E,242,112,94,False
13,Pink,#FC97AC,252,151,172,False
14,Yellow,#F2CD37,242,205,55,False
15,White,#FFFFFF,255,255,255,False
17,Light Green,#C2DAB8,194,218,184,False
18,Light Yellow,#FBE696,251,230,150,False
19,Tan,#E4CD9E,228,205,158,False
20,Light Violet,#C9CAE2,201,202,226,False
21,Glow In Dark Opaque,#D4D5C9,212,213,201,False
22,Purple,#81007B,129,0,123,False
23,Dark Blue-Violet,#2032B0,32,50,176,False
25,Orange,#FE8A18,254,138,24,False
26,Magenta,#923978,146,57,120,False
27,Lime,#BBE90B,187,233,11,False
28,Dark Tan,#958A73,149,138,115,False
29,Bright Pink,#E4ADC8,228,173,200,False
30,Medium Lavender,#AC78BA,172,120,186,False
31,Lavender,#E1D5ED,225,213,237,False
32,Trans-Black IR Lens,#635F52,99,95,82,True
33,Trans-Dark Blue,#0020A0,0,32,160,True
34,Trans-Green,#84B68D,132,182,141,True
35,Trans-Bright Green,#D9E4A7,217,228,167,True
36,Trans-Red,#C91A09,201,26,9,True
40,Trans-Brown,#635F52,99,95,82,True
41,Trans-Light Blue,#AEEFEC,174,239,236,True
42,Trans-Neon Green,#F8F184,248,241,132,True
43,Trans-Very Lt Blue,#C1DFF0,193,223,240,True
45,Trans-Dark Pink,#DF6695,223,102,149,True
46,Trans-Yellow,#F5CD2F,245,205,47,True
47,Trans-Clear,#FCFCFC,252,252,252,True
52,Trans-Purple,#A5A5CB,165,165,203,True
54,Trans-Neon Yellow,#DAB000,218,176,0,True
57,Trans-Neon Orange,#FF800D,255,128,13,True
60,Chrome Antique Brass,#645A4C,100,90,76,False
61,Chrome Blue,#6C96BF,108,150,191,False
62,Chrome Green,#3CB371,60,179,113,False
63,Chrome Pink,#AA4D8E,170,77,142,False
64,Chrome Black,#1B2A34,27,42,52,False
68,Very Light Orange,#F3CF9B,243,207,155,False
69,Light Purple,#CD6298,205,98,152,False
70,Reddish Brown,#582A12,88,42,18,False
71,Light Bluish Gray,#A0A5A9,160,165,169,False
72,Dark Bluish Gray,#6C6E68,108,110,104,False
73,Medium Blue,#5A93DB,90,147,219,False
74,Medium Green,#73DCA1,115,220,161,False
75,Speckle Black-Copper,#05131D,5,19,29,False
76,Speckle DBGray-Silver,#6C6E68,108,110,104,False
77,Light Pink,#FECCCF,254,204,207,False
78,Light Nougat,#F6D7B3,246,215,179,False
79,Milky White,#FFFFFF,255,255,255,False
80,Metallic Silver,#A5A9B4,165,169,180,False
81,Metallic Green,#899B5F,137,155,95,False
82,Metallic Gold,#DBAC34,219,172,52,False
84,Medium Nougat,#AA7D55,170,125,85,False
85,Dark Purple,#3F3691,63,54,145,False
86,Light Brown,#7C503A,124,80,58,False
89,Royal Blue,#4C61DB,76,97,219,False
92,Nougat,#D09168,208,145,104,False
100,Light Salmon,#FEBABD,254,186,189,False
110,Violet,#4354A3,67,84,163,False
112,Medium Bluish Violet,#6874CA,104,116,202,False
114,Glitter Trans-Dark Pink,#DF6695,223,102,149,True
115,Medium Lime,#C7D23C,199,210,60,False
117,Glitter Trans-Clear,#FFFFFF,255,255,255,True
118,Aqua,#B3D7D1,179,215,209,False
120,Light Lime,#D9E4A7,217,228,167,False
125,Light Orange,#F9BA61,249,186,97,False
129,Glitter Trans-Purple,#A5A5CB,165,165,203,True
132,Speckle Black-Silver,#05131D,5,19,29,False
133,Speckle Black-Gold,#05131D,5,19,29,False
134,Copper,#AE7A59,174,122,89,False
135,Pearl Light Gray,#9CA3A8,156,163,168,False
137,Pearl Sand Blue,#7988A1,121,136,161,False
142,Pearl Light Gold,#DCBC81,220,188,129,False
143,Trans-Medium Blue,#CFE2F7,207,226,247,True
148,Pearl Dark Gray,#575857,87,88,87,False
150,Pearl Very Light Gray,#ABADAC,171,173,172,False
151,Very Light Bluish Gray,#E6E3E0,230,227,224,False
158,Yellowish Green,#DFEEA5,223,238,165,False
178,Flat Dark Gold,#B48455,180,132,85,False
179,Flat Silver,#898788,137,135,136,False
182,Trans-Orange,#F08F1C,240,143,28,True
183,Pearl White,#F2F3F2,242,243,242,False
191,Bright Light Orange,#F8BB3D,248,187,61,False
212,Bright Light Blue,#9FC3E9,159,195,233,False
216,Rust,#B31004,179,16,4,False
226,Bright Light Yellow,#FFF03A,255,240,58,False
230,Trans-Pink,#E4ADC8,228,173,200,True
232,Sky Blue,#7DBFDD,125,191,221,False
236,Trans-Light Purple,#96709F,150,112,159,True
272,Dark Blue,#0A3463,10,52,99,False
288,Dark Green,#184632,24,70,50,False
294,Glow In Dark Trans,#BDC6AD,189,198,173,True
297,Pearl Gold,#AA7F2E,170,127,46,False
308,Dark Brown,#352100,53,33,0,False
313,Maersk Blue,#3592C3,53,146,195,False
320,Dark Red,#720E0F,114,14,15,False
321,Dark Azure,#078BC9,7,139,201,False
322,Medium Azure,#36AEBF,54,174,191,False
323,Light Aqua,#ADC3C0,173,195,192,False
326,Olive Green,#9B9A5A,155,154,90,False
334,Chrome Gold,#BBA53D,187,165,61,False
335,Sand Red,#D67572,214,117,114,False
351,Medium Dark Pink,#F785B1,247,133,177,False
366,Earth Orange,#FA9C1C,250,156,28,False
373,Sand Purple,#845E84,132,94,132,False
